Date,Open,High,Low,Close,Adjusted_close,Volume
2005-07-26,40.82,40.82,40.32,40.6,25.3309,2385800
2005-07-27,40.36,40.54,38.91,39.97,24.9379,3987400
2005-07-28,39.98,40.18,39.5,39.92,24.9067,2031600
2005-07-29,39.76,39.8,39.03,39.2,24.4575,3310100
2005-08-01,39.25,39.48,38.83,39.06,24.3701,2492300
2005-08-02,39.8,41.21,39.57,40.72,25.4058,5260400
2005-08-03,39.25,39.87,38.5,38.58,24.0706,7304800
2005-08-04,38.15,38.38,37.63,37.64,23.4842,3454100
2005-08-05,37.6,37.75,37.04,37.15,23.1784,3365900
2005-08-08,37.3,37.68,37.05,37.39,23.3282,2958300
2005-08-09,37.49,37.88,37.32,37.5,23.3968,2525500
2005-08-10,37.66,37.99,37,37.11,23.1535,2697300
2005-08-11,38.05,38.43,37.58,38.42,23.9708,3232300
2005-08-12,38.05,38.08,36.72,37.25,23.2408,3921100
2005-08-15,37.18,37.84,37,37.57,23.4405,2457700
2005-08-16,37.5,37.5,36.84,37.02,23.0973,1843600
2005-08-17,37.09,37.29,36.83,37.04,23.1098,1919200
2005-08-18,36.95,36.98,36.48,36.5,22.7729,2300900
2005-08-19,36.63,36.78,36.23,36.24,22.6107,2150700
2005-08-22,36.33,36.84,36.2,36.77,22.9413,2217000
2005-08-23,36.75,37.07,36.32,36.58,22.8228,1585200
2005-08-24,36.41,37.08,36.05,36.17,22.6289,2604100
2005-08-25,36.3,36.63,36,36.16,22.6226,1922400
2005-08-26,36.24,36.24,35.52,35.54,22.2347,2902600
2005-08-29,35.25,36.28,35.2,36.15,22.6163,2290600
2005-08-30,35.95,35.99,35.21,35.62,22.2848,3176000
2005-08-31,35.65,36.47,35.46,36.45,22.804,3329400
2005-09-01,36.45,36.7,35.7,36.2,22.6476,3715100
2005-09-02,36.31,36.64,35.96,36.57,22.8791,2573400
2005-09-06,36.63,37.26,36.58,37.21,23.2795,2199900
2005-09-07,36.3,37.26,36.3,36.88,23.0731,1831900
2005-09-08,37.13,37.96,36.88,37.45,23.4297,3089900
2005-09-09,37.9,38.52,37.52,38.36,23.999,4310500
2005-09-12,38.26,38.63,38.2,38.31,23.9677,1703700
2005-09-13,38.06,38.63,38.06,38.35,23.9927,3660600
2005-09-14,38.3,38.49,38.03,38.15,23.8676,2120800
2005-09-15,38.15,38.28,37.59,37.95,23.7425,3329500
2005-09-16,38.1,38.24,37.72,37.85,23.6799,3065700
2005-09-19,37.7,37.9,36.79,37.07,23.1919,4234400
2005-09-20,37.26,37.63,36.63,36.73,22.9792,2902100
2005-09-21,36.48,36.61,35.88,36.17,22.6289,2231900
2005-09-22,36,36.49,35.71,36.15,22.6163,2127800
2005-09-23,36.04,36.16,35.65,36.15,22.6163,2829900
2005-09-26,36.46,36.57,35.74,36.09,22.5788,2920400
2005-09-27,36.05,36.11,35.3,35.7,22.3348,3144700
2005-09-28,35.83,36.36,35.47,35.91,22.4662,2230100
