Date,Open,High,Low,Close,Adjusted_close,Volume
2005-07-26,43.7699,44.35,42.88,43.84,21.5811,3488999
2005-07-27,43.75,44.0399,43.6201,44.0399,21.6795,2841384
2005-07-28,44.05,45.07,44.03,44.87,22.0881,3697557
2005-07-29,44.6499,44.91,44.4101,44.4101,21.8617,2029218
2005-08-01,43.46,44.45,43.46,44.3599,21.8371,2022661
2005-08-02,44.3999,44.7001,44.28,44.3599,21.8371,1664557
2005-08-03,44.15,44.43,43.9801,44.38,21.8469,1976637
2005-08-04,44.32,44.33,43.9,43.99,21.6549,1783210
2005-08-05,43.99,44.35,43.9,43.99,21.6549,1336210
2005-08-08,44.0399,44.29,43.97,44,21.6598,1286781
2005-08-09,44.07,44.27,43.9801,44.0801,21.6993,1275685
2005-08-10,44.25,44.9601,44.1999,44.3599,21.8371,2124671
2005-08-11,44.3999,44.7499,44.1599,44.5101,21.9109,1236596
2005-08-12,44.5101,44.7499,44.2999,44.52,21.9158,1200029
2005-08-15,44.42,44.67,44.1101,44.56,21.9355,1161697
2005-08-16,44.42,44.5899,44.1101,44.1101,21.714,1391439
2005-08-17,43.99,44.19,43.9099,44.0999,21.7091,2073729
2005-08-18,43.99,44.29,43.75,44.09,21.7042,1390304
2005-08-19,44.33,44.38,43.95,43.99,21.6549,1532789
2005-08-22,44,44.46,43.8099,44.0601,21.6894,1179854
2005-08-23,44.01,44.15,43.8801,43.99,21.6549,1686875
2005-08-24,43.93,44.1999,43.73,43.75,21.5368,2251647
2005-08-25,43.8,43.93,43.63,43.73,21.5269,1542624
2005-08-26,43.73,43.73,43.3,43.3901,21.3596,2062759
2005-08-29,43.24,43.6499,43.24,43.5499,21.4383,1299769
2005-08-30,43.37,43.37,43.01,43.19,21.2611,2436625
2005-08-31,43.24,43.24,42.2399,42.75,21.0445,3162418
2005-09-01,42.7299,42.78,42.11,42.2399,20.7934,2285566
2005-09-02,42.39,42.68,42.2,42.47,20.9067,1796702
2005-09-06,42.6299,43.0001,42.62,42.81,21.0741,2040566
2005-09-07,42.3501,42.6,42.2399,42.42,20.958,1399635
2005-09-08,42.6,42.6,42.11,42.3501,20.9234,1531402
2005-09-09,42.4,42.72,42.2399,42.68,21.0864,1274298
2005-09-12,42.56,42.8,42.17,42.1799,20.8394,1933766
2005-09-13,42.19,42.21,41.4599,41.62,20.5627,3474625
2005-09-14,41.71,41.91,41.5101,41.77,20.6368,1970333
2005-09-15,41.8499,41.9499,41.5,41.7,20.6022,1970837
2005-09-16,41.87,42.09,41.52,41.7,20.6022,4414397
2005-09-19,42.0001,42.2501,41.5,41.72,20.6121,2455161
2005-09-20,41.73,42.5399,41.73,42.3501,20.9234,3816968
2005-09-21,42.3501,42.7,42.29,42.41,20.953,3015015
2005-09-22,42.3501,42.5,42.01,42.31,20.9036,1888372
2005-09-23,42.27,42.3501,41.7499,42.07,20.785,1668718
2005-09-26,42.31,42.6299,41.89,41.9601,20.7307,2017618
2005-09-27,42.16,42.3399,41.8601,42.21,20.8542,1758748
2005-09-28,43.0001,43.8,42.6101,43.1301,21.3088,3395690
2005-09-29,43.0599,43.0599,42.5,42.96,21.2247,2546957
2005-09-30,42.87,43.1301,42.5,43.0401,21.2643,1870719
2005-10-03,42.92,43.1199,42.79,43.01,21.2495,2597772
2005-10-04,43.1001,43.6099,42.92,43.1301,21.3088,2859542
2005-10-05,43.05,43.4901,43.0001,43.0401,21.2643,2578480
2005-10-06,43.1001,43.5,42.89,43.17,21.3285,2749841
2005-10-07,43.25,43.2799,42.96,43.15,21.3186,1792793
2005-10-10,43.07,43.26,42.92,43.02,21.2544,1408587
2005-10-11,43.01,43.07,42.53,42.68,21.0864,2466131
2005-10-12,42.5501,42.86,42.21,42.4501,20.9728,2096678
2005-10-13,42.2,42.91,42.19,42.78,21.1358,3042251
2005-10-14,42.75,43.1301,42.68,43.11,21.2989,2484919
2005-10-17,42.5,42.95,42.29,42.4,20.9481,2307758
2005-10-18,42.29,42.7699,42.27,42.66,21.0765,1530267
2005-10-19,42.4399,43.2,42.43,43.19,21.3384,2375596
2005-10-20,43.19,43.4901,42.85,42.86,21.1753,3199615
2005-10-21,42.86,42.89,42.4,42.6899,21.0913,3541580
2005-10-24,43.1001,44,43.1001,43.5901,21.536,4236858
2005-10-25,43.6201,43.79,43.1001,43.5499,21.5162,4550200
2005-10-26,44.45,46.21,44.1999,45.99,22.7217,8462242
2005-10-27,45.5,47.1999,45.05,46.6499,23.0478,6106947
2005-10-28,47,47.15,46.74,46.84,23.1417,4428015
2005-10-31,46.84,46.89,46.19,46.66,23.0528,3097480
2005-11-01,46.6,46.9,46.25,46.2599,22.8551,2985509
2005-11-02,46.35,46.69,46.15,46.5901,23.0182,2695369
2005-11-03,46.5499,46.7201,46.4,46.49,22.9687,2151276
2005-11-04,46.85,46.85,46.3,46.57,23.0083,2498789
2005-11-07,46.67,46.7499,46.4199,46.6099,23.028,1460286
2005-11-08,46.7,46.7,46.2301,46.3701,22.9095,1919517
2005-11-09,46.4,46.7499,46.3701,46.49,22.9687,2273335
2005-11-10,46.56,47.8899,46.56,47.8899,23.6604,3727315
2005-11-11,47.71,47.74,47.26,47.43,23.4332,1486261
2005-11-14,47.15,47.74,47.11,47.5101,23.4727,1610210
2005-11-15,47.3501,47.5499,46.9801,47.3101,23.3739,2193518
2005-11-16,47.27,47.62,47.1999,47.5499,23.4925,1583352
2005-11-17,47.5499,47.98,47.4101,47.95,23.6901,1906277
2005-11-18,48.05,48.11,47.52,47.7001,23.5666,2947555
2005-11-21,47.8001,47.8001,46.6099,47.43,23.4332,1785606
2005-11-22,47.25,47.4101,46.77,46.95,23.1961,1762657
2005-11-23,46.85,47.16,46.7499,46.7499,23.0972,1643877
2005-11-25,46.9,47.2101,46.77,47.03,23.2356,558467
2005-11-28,46.95,47.0399,46.28,46.3199,22.8848,2997866
2005-11-29,46.5,46.97,46.5,46.64,23.0429,2918806
2005-11-30,46.8099,47.3999,46.7499,47,23.2207,2368787
2005-12-01,47.17,47.66,47.07,47.54,23.4876,1759253
2005-12-02,47.2999,47.8001,47.1399,47.3101,23.3739,1412496
2005-12-05,47.2999,47.4999,46.8201,46.87,23.1565,1905268
