Date,Open,High,Low,Close,Adjusted_close,Volume
2005-07-26,18.13,18.3,18.03,18.26,13.3169,15459850
2005-07-27,18.23,18.25,17.81,18.11,13.2075,19426100
2005-07-28,18.08,18.48,18.02,18.28,13.3314,14386240
2005-07-29,18.29,18.54,18.13,18.48,13.4773,23272211
2005-08-01,18.56,18.59,18.04,18.24,13.3023,22788051
2005-08-02,18.2,18.6,18.14,18.58,13.5502,22437500
2005-08-03,18.43,18.49,18.29,18.41,13.4263,12074490
2005-08-04,18.29,18.31,17.92,17.95,13.0908,14528180
2005-08-05,17.9,18.1,17.76,17.85,13.0179,16769609
2005-08-08,17.94,17.95,17.53,17.63,12.8574,15589660
2005-08-09,17.75,17.91,17.66,17.78,12.9668,12582540
2005-08-10,17.89,18.12,17.36,17.4,12.6897,24828670
2005-08-11,17.38,17.82,17.22,17.79,12.9741,22358730
2005-08-12,17.6,17.77,17.31,17.42,12.7043,22817869
2005-08-15,17.47,17.79,17.37,17.64,12.8869,16245880
2005-08-16,17.39,17.45,17.13,17.17,12.5435,24754641
2005-08-17,17.89,18.39,17.8899,18.22,13.3106,60314531
2005-08-18,18.1,18.29,18.02,18.12,13.2376,25893320
2005-08-19,18.12,18.28,18.07,18.17,13.2741,24658689
2005-08-22,18.22,18.52,18.21,18.52,13.5298,25020590
2005-08-23,18.46,18.501,18.3299,18.39,13.4348,18230461
2005-08-24,18.27,18.51,18.0099,18.02,13.1645,22124350
2005-08-25,18.1,18.2,17.97,17.99,13.1426,13780540
2005-08-26,18.02,18.09,17.81,17.96,13.1207,17006590
2005-08-29,17.88,18.2001,17.85,18.12,13.2376,13137310
2005-08-30,17.98,18.1,17.93,18.1,13.2229,14283820
2005-08-31,17.97,18.32,17.95,18.32,13.3837,16715359
2005-09-01,18.24,18.25,17.64,17.73,12.9526,31796881
2005-09-02,17.83,17.91,17.58,17.7,12.9307,12027270
2005-09-06,17.78,17.84,17.65,17.78,12.9892,17652930
2005-09-07,17.7,17.72,17.41,17.61,12.865,20484070
2005-09-08,17.69,17.98,17.61,17.77,12.9819,22471881
2005-09-09,17.84,18.03,17.7,17.97,13.128,16977020
2005-09-12,17.95,17.96,17.77,17.78,12.9892,10971250
2005-09-13,17.93,18.29,17.84,18.09,13.2156,24010529
2005-09-14,18.12,18.19,17.7399,17.83,13.0257,18131570
2005-09-15,17.91,18.07,17.75,18.02,13.1645,22835539
2005-09-16,18.03,18.06,17.71,17.92,13.0914,20721369
2005-09-19,17.88,17.91,17.2,17.47,12.7627,20211869
2005-09-20,17.43,17.53,17.03,17.08,12.4778,20048600
