Date,Open,High,Low,Close,Adjusted_close,Volume
2005-07-26,80.86,82.5,80.77,82.14,56.8017,12273500
2005-07-27,81.54,82.23,80.63,81.28,56.207,10536100
2005-07-28,80.99,81.56,80.75,81,56.0134,7629400
2005-07-29,80.39,81.14,79.75,79.77,55.1628,8678000
2005-08-01,79.71,82.17,79.71,81.63,56.449,10034400
2005-08-02,81.66,82.98,81.57,82.63,57.1406,9042900
2005-08-03,82.33,84,82.02,84,58.088,9790200
2005-08-04,83.39,83.72,82.07,82.68,57.1751,9301900
2005-08-05,82.4,83.1,81.37,81.89,56.6288,6161400
2005-08-08,81.94,82.4,80.05,80.4,55.5985,9085500
2005-08-09,79.03,80.24,78.78,80.16,55.4325,13388700
2005-08-10,80.21,80.59,79.44,79.48,54.9623,8517400
2005-08-11,79.68,81,79.4,80.84,55.9027,8276900
2005-08-12,80.36,81.13,79.76,80.42,55.6123,4900600
2005-08-15,80.45,81.15,79.85,80.59,55.7299,4824300
2005-08-16,80.17,81.34,79.5,79.51,54.983,5803800
2005-08-17,79.65,80.1,79,79,54.6303,5375600
2005-08-18,78.8,80,78.1,79.57,55.0245,7235000
2005-08-19,79.72,79.79,79.4,79.66,55.0867,5006800
2005-08-22,79.38,79.94,78.65,79.19,54.7617,5993500
2005-08-23,78.96,79.42,78.09,78.82,54.5059,5177100
2005-08-24,78.63,79.98,78.42,78.74,54.4505,6234900
2005-08-25,79.05,79.79,78.82,79.58,55.0314,4497200
2005-08-26,79.28,79.46,78.5,78.68,54.409,3984800
2005-08-29,78.36,80.22,78.13,80.09,55.3841,6255200
2005-08-30,79.85,80.48,79.39,80.16,55.4325,6703300
2005-08-31,80.13,80.6,79.36,79.9,55.2527,7856500
2005-09-01,79.64,80.75,79.61,80.07,55.3703,6184800
2005-09-02,80.37,80.65,79.8,80.33,55.5501,4007200
2005-09-06,80.57,82.43,80.5,82.38,56.9677,7892500
2005-09-07,82.35,82.42,81.42,81.66,56.4698,5549900
2005-09-08,81.17,83.75,81.12,82.29,56.9054,8637200
2005-09-09,82.48,84.97,82.33,84.51,58.4406,12551300
2005-09-12,84.7,85.45,83.35,83.37,57.6523,10894800
2005-09-13,83.5,84.1,82.75,82.77,57.2374,8024200
2005-09-14,82.81,83.77,82.31,82.37,56.9608,6065700
2005-09-15,83.6,84.6,83.27,83.58,57.7975,9214500
2005-09-16,84.1,85.01,83.3,84.86,58.6827,11129300
2005-09-19,84.99,86.54,84.76,86.17,59.5886,10847200
2005-09-20,86.1,86.92,84.25,84.98,58.7656,8634100
2005-09-21,85.33,85.97,84.13,84.35,58.33,9294100
2005-09-22,84.41,84.94,83.28,84,58.088,6778100
2005-09-23,84.2,84.27,83.16,83.29,57.597,7381200
2005-09-26,83.38,84.3,81.2,82.05,56.7395,10810500
2005-09-27,82.35,82.35,79.8,79.97,55.3011,12235500
2005-09-28,80.24,80.75,79.25,79.82,55.1974,9079100
2005-09-29,79.9,80.35,79.3,79.77,55.1628,7513100
2005-09-30,79.54,79.92,78.22,79.67,55.0937,8862500
2005-10-03,79.64,80.45,79.21,79.62,55.0591,8011400
2005-10-04,79.72,81.9,79.6,80.1,55.391,9084600
2005-10-05,80.49,80.55,78,78.01,53.9457,8294700
2005-10-06,77.92,78,74.53,75.96,52.5281,19801100
2005-10-07,76.48,77.21,75.6,77.02,53.2611,8773400
2005-10-10,77.34,77.97,76.44,76.7,53.0398,6026500
2005-10-11,78.07,78.42,76.09,76.34,52.7909,9572200
2005-10-12,76.48,76.5,74.52,74.77,51.7052,9491300
2005-10-13,73.99,76.26,73.51,75.82,52.4313,12690000
2005-10-14,76.16,76.65,75.52,75.75,52.3829,7432100
2005-10-17,75.18,75.67,74.25,75.4,52.1409,9518900
2005-10-18,75.6,77.28,75.6,75.87,52.4659,8331900
2005-10-19,75.99,78.09,75.46,78.09,54.001,12088200
2005-10-20,75.18,75.75,73.42,74.1,51.2419,17697700
2005-10-21,74.47,74.67,73.13,73.37,50.7371,11754200
2005-10-24,74.16,75.31,73.49,75.31,52.0786,9321300
2005-10-25,75.35,76.05,74.65,75.99,52.5489,7098400
2005-10-26,75.73,76.55,74.98,75.2,52.0025,7489800
