Date,Open,High,Low,Close,Adjusted_close,Volume
2005-07-26,58.87,58.9,57.7,57.89,43.038,1522048
2005-07-27,58.2,59.36,57.9,59.3,44.0862,2472139
2005-07-28,58.85,60.43,58.84,60.35,44.8668,1746356
2005-07-29,60.13,60.5901,59.65,59.76,44.4282,1120781
2005-08-01,59.76,60.26,59.55,59.63,44.3316,830965
2005-08-02,59.98,60.52,59.9,60.25,44.7925,999385
2005-08-03,60.13,61.5,59.95,61.23,45.5211,1476646
2005-08-04,61.2399,61.2399,60.5,60.58,45.0379,795724
2005-08-05,60.58,60.75,60.08,60.3,44.8297,642330
2005-08-08,60.43,60.67,60.19,60.35,44.8668,550229
2005-08-09,61.2,61.2,60.54,60.98,45.3352,631196
2005-08-10,61.05,61.6,60.4,60.61,45.0602,870854
2005-08-11,60.7,61.2,60.5,61.2,45.4988,749674
2005-08-12,60.95,61.1,60.44,60.76,45.1717,629142
2005-08-15,60.65,60.98,60.14,60.83,45.2238,570984
2005-08-16,60.62,60.9,59.83,59.88,44.5175,815290
2005-08-17,59.3,60.03,59,59.7999,44.4579,780590
2005-08-18,59.6,59.77,59.24,59.53,44.2573,530555
2005-08-19,59.7,59.85,59.25,59.61,44.3167,565363
2005-08-22,59.65,60.03,59.16,59.51,44.2424,504178
2005-08-23,59.38,59.39,58.02,58.25,43.3056,1340872
2005-08-24,58.18,58.5,57.6701,57.87,43.0232,1295362
2005-08-25,57.88,57.88,57.1,57.46,42.7183,1050083
2005-08-26,57.2,57.32,56.52,56.95,42.3392,1012465
2005-08-29,56.6,57.14,56.03,56.9199,42.3168,1012357
2005-08-30,56.52,56.67,55.66,56.11,41.7146,987494
2005-08-31,55.75,56.2099,54.9,55.4,41.1868,2913944
2005-09-01,55.4,55.5001,54.7299,54.7901,40.7334,2235292
2005-09-02,54.9,55.55,54.2,55.55,41.2983,1668307
2005-09-06,55.63,56.2,55.5001,56.06,41.6775,1448324
2005-09-07,55.79,56.1899,55.05,55.43,41.2091,1601610
2005-09-08,55.03,55.34,54.7499,54.92,40.83,828587
2005-09-09,55.2,55.51,54.85,55.4799,41.2463,859071
2005-09-12,55.29,56,55.21,55.98,41.618,1300875
2005-09-13,55.99,56.67,55.74,55.8,41.4842,1608528
2005-09-14,56.15,56.48,55.9,56.3,41.8559,2191511
2005-09-15,56.3,56.43,55.81,56,41.6329,1243691
2005-09-16,56.28,56.68,56.2,56.35,41.8931,1516859
2005-09-19,56.3,56.5,55.85,56,41.6329,1120348
2005-09-20,56.5,57.25,55.69,55.85,41.5214,1942557
2005-09-21,55.85,55.85,54.38,55,40.8894,1892831
2005-09-22,55,55.49,54.25,55.08,40.9489,1461080
2005-09-23,55.08,56.4,54.9,55.83,41.5065,1407678
2005-09-26,56,56.3,55,55,40.8894,1414489
2005-09-27,55.13,55.5401,54.9,55.14,40.9935,1311145
2005-09-28,55.27,55.4599,54.35,54.67,40.6441,1162291
2005-09-29,54.2,54.54,53.3,54.49,40.5103,1919099
2005-09-30,54.25,55.38,54.25,55.14,40.9936,1096350
2005-10-03,55.08,55.85,54.8,55.72,41.4248,1364979
2005-10-04,55.83,56.89,55.61,56.18,41.7668,1836943
2005-10-05,55.83,55.84,54.52,54.59,40.5847,1658362
2005-10-06,54.5,55.26,53.99,54.22,40.3096,1692522
2005-10-07,54.42,55.17,54.35,54.89,40.8078,1181209
2005-10-10,54.9,55,54.18,54.25,40.3319,605360
2005-10-11,54.24,54.57,53.9999,54.1001,40.2204,722216
2005-10-12,53.9999,54.37,53.75,54.19,40.2873,1097431
2005-10-13,54.0399,54.64,54.01,54.64,40.6219,1279796
2005-10-14,55,55.06,54.01,54.15,40.2576,1065217
2005-10-17,54.1001,54.17,53.81,53.99,40.1386,903392
2005-10-18,53.99,54.15,53.3301,53.3301,39.648,992250
2005-10-19,53.3301,53.92,53,53.84,40.0271,911067
2005-10-20,53.85,54.9,53.63,53.9999,40.146,1615663
2005-10-21,54.4,54.62,53.81,54.27,40.3468,1204883
2005-10-24,54.6,55.75,54.6,55.75,41.4471,1005006
2005-10-25,55.4,55.87,54.7699,55.4,41.1868,1464106
2005-10-26,56,57.51,55.76,56.77,42.2054,2544998
2005-10-27,56.75,57.04,56.04,56.1899,41.7742,1030301
2005-10-28,56.6,57.4,56.29,57.38,42.6589,1225530
2005-10-31,57.5,57.78,57.23,57.24,42.5548,1689495
2005-11-01,57.15,57.75,56.99,57.47,42.7258,934092
