Date,Open,High,Low,Close,Adjusted_close,Volume
2005-07-26,54.8,54.8,54.15,54.28,35.1919,5019765
2005-07-27,54.27,55.02,54.1,54.95,35.6262,8889295
2005-07-28,55.2,55.56,55.03,55.47,35.9634,4865075
2005-07-29,55.45,55.61,54.98,55,35.6587,5100308
2005-08-01,55,55.25,54.8199,54.83,35.5485,4667543
2005-08-02,54.9,55.46,54.9,55.4,35.918,3955558
2005-08-03,55,55.4799,54.9899,55.4799,35.9699,3943791
2005-08-04,55.25,56.1599,55.25,55.85,36.2098,7639552
2005-08-05,55.85,56.05,55.71,55.81,36.1838,4180510
2005-08-08,55.86,56,55.54,55.7,36.1125,3892837
2005-08-09,55.8,55.92,55.43,55.59,36.0412,4708671
2005-08-10,56.23,56.8401,56.05,56.4999,36.6312,9118702
2005-08-11,56.45,56.95,56.37,56.8,36.8257,7373243
2005-08-12,56.45,56.85,56.1801,56.6701,36.7415,4808409
2005-08-15,56.4999,56.69,56.24,56.53,36.6506,3651434
2005-08-16,56.4999,56.74,56,56.06,36.3459,3515823
2005-08-17,56.03,56.3,55.87,56.03,36.3265,3164515
2005-08-18,55.92,56.2,55.64,56.12,36.3848,3018622
2005-08-19,56.12,56.24,55.89,56.1,36.3718,3185079
2005-08-22,56.21,56.56,56.07,56.28,36.4886,3341140
2005-08-23,56.28,56.51,55.95,56,36.307,3729007
2005-08-24,56.0101,56.3501,55.44,55.44,35.9439,4734834
2005-08-25,55,55.77,54.96,55.73,36.132,3328459
2005-08-26,55.6,55.73,54.94,55.0101,35.6652,5691306
2005-08-29,54.95,55.9899,54.72,55.89,36.2357,4537644
2005-08-30,55.78,55.8,55.05,55.2,35.7884,3855135
2005-08-31,55.32,55.3501,54.6499,55.24,35.8143,5197532
2005-09-01,55.13,55.36,54.79,55.3,35.8532,4746487
2005-09-02,55.38,55.63,55.17,55.36,35.8921,3263453
2005-09-06,55.55,57.03,55.47,56.96,36.9294,8695419
2005-09-07,56.96,57.4,56.77,57.37,37.1953,7638867
2005-09-08,57.4,57.54,57.1801,57.36,37.1888,5685365
2005-09-09,57.3501,58.6499,57.32,58.19,37.7269,7441220
2005-09-12,58.1,59.26,58.08,58.59,37.9862,9419970
2005-09-13,58.3501,58.4799,57.73,57.74,37.4351,5472067
2005-09-14,57.6499,57.93,56.85,56.97,36.9359,6428767
2005-09-15,57.25,57.61,57.04,57.56,37.3185,6418714
2005-09-16,57.78,59.4999,57.72,59.46,38.5503,18582543
2005-09-19,59.25,59.3,58.62,59.03,38.2715,6814121
2005-09-20,58.98,59.38,58.5001,58.5001,37.9279,9118816
2005-09-21,58.2,58.3501,56.88,57,36.9554,9821775
2005-09-22,56.7,57.03,56.3,57,36.9554,10026162
2005-09-23,56.9,57.12,56.56,56.9,36.8906,5305381
2005-09-26,57.3501,57.7,56.8199,57,36.9554,5370502
2005-09-27,56.92,57,56.5201,56.7,36.7609,3772192
2005-09-28,56.85,57.11,56.3,56.62,36.709,3735405
2005-09-29,56.4999,57.6499,56.46,57.51,37.286,8482806
2005-09-30,57.3301,57.45,57.0101,57.44,37.2406,8439506
2005-10-03,50.75,50.83,50.41,50.75,37.5908,6748900
2005-10-04,50.9,51.48,49.85,49.93,36.9834,5579600
2005-10-05,49.65,50.53,49.63,50.07,37.1765,5459200
2005-10-06,50.15,50.62,49.79,50.07,37.1765,4962700
2005-10-07,50.4,50.4,49.77,49.82,36.9909,6431600
2005-10-10,50.01,50.21,48.98,49.05,36.4191,4850700
2005-10-11,49.17,49.6,49,49.18,36.5157,5513500
2005-10-12,48.9,49.4,47.84,48.21,35.7955,7849600
2005-10-13,48.22,48.4,47.56,48.25,35.8252,5270100
2005-10-14,48.29,48.64,47.7,47.95,35.6024,5433000
2005-10-17,47.85,48.16,47.58,48.12,35.7286,5288300
2005-10-18,47.98,48.14,47.62,47.89,35.5579,5177800
2005-10-19,47.77,48.97,47.51,48.97,36.3597,4942900
2005-10-20,48.97,48.97,47.01,47.36,35.1643,8584700
2005-10-21,47.2,48,46.59,47.15,35.0084,9543500
2005-10-24,47.95,49.7,47.67,49.54,36.783,13336800
2005-10-25,49.53,50.63,49,49.72,36.9166,10855500
2005-10-26,49.73,50.35,49.25,50.14,37.2285,6047700
2005-10-27,50.2,50.2,48.81,48.9,36.3078,6208400
2005-10-28,49.35,49.59,48.76,49.54,36.783,5602000
2005-10-31,49.83,50.02,49.65,49.77,36.9537,5411500
2005-11-01,49.8,49.8,49.08,49.15,36.4934,5853400
2005-11-02,49.24,50.02,49.22,49.97,37.1022,3812900
2005-11-03,50.05,50.29,49.58,49.73,36.924,4461900
2005-11-04,49.9,50.05,49.06,49.4,36.679,4730100
2005-11-07,49.73,50,49.47,49.8,36.976,5483200
2005-11-08,49.35,49.65,49.13,49.13,36.4785,4490400
2005-11-09,49.25,49.51,49.05,49.33,36.627,4391900
2005-11-10,49.5,50.09,49.2,49.86,37.0206,8253000
2005-11-11,49.49,50.54,49.49,50.45,37.4586,9284600
2005-11-14,50.5,50.94,50.2,50.91,37.8002,4906600
2005-11-15,50.98,51.35,50.57,50.93,37.815,6766600
2005-11-16,50.93,51.5,48.21,50.08,37.1839,28481300
2005-11-17,50.02,50.45,49.39,49.5,36.7533,10619700
2005-11-18,50,50,48.92,49.91,37.0577,9941800
2005-11-21,50.27,51,49.97,50.9,37.7928,7552500
2005-11-22,50.9,51.83,50.62,51.75,38.4239,7829100
2005-11-23,51.9,52.6,51.75,52.4,38.9065,8975500
2005-11-25,52.5,52.9,52.42,52.62,39.0698,2754100
2005-11-28,52.98,53.06,52.41,52.84,39.2332,8657600
2005-11-29,52.95,53,52.08,52.13,38.706,5100500
2005-11-30,52.35,52.55,51.38,51.42,38.1788,7700600
2005-12-01,51.92,52.27,51.8,51.99,38.6021,5393500
2005-12-02,52,52.25,51.57,51.61,38.3199,6308100
2005-12-05,51.51,51.61,51.23,51.39,38.1566,4822800
2005-12-06,51.57,51.93,51.44,51.5,38.2382,4436300
2005-12-07,51.29,51.39,50.98,51.11,37.9487,4170200
2005-12-08,51.11,51.33,50.6,50.65,37.6071,3979800
2005-12-09,50.71,51.44,50.67,51.15,37.9784,5458300
2005-12-12,51.48,51.48,50.78,51.03,37.8893,5468300
2005-12-13,50.8,51.11,50.4,50.77,37.6962,5404300
2005-12-14,50.65,51.57,50.65,51.46,38.2085,5919100
2005-12-15,51.49,51.7,51.12,51.43,38.1863,3563600
2005-12-16,51.79,52.07,51.56,51.93,38.5575,6098800
2005-12-19,51.8,51.85,51.27,51.27,38.0675,4517700
2005-12-20,51.2,52,51.15,51.75,38.4239,4969500
2005-12-21,51.92,52.65,51.92,52.39,38.8991,5727400
